Name;name;formula;adduct;evidence;m/z;RT
Cluster_0462;;;;;149.9943726;19.89177576
Cluster_0463;;;;;149.9943197;20.19491426
Cluster_0464;;;;;149.9942774;20.24838803
Cluster_0465;;;;;149.9942324;20.44796469
Cluster_0466;;;;;149.9941477;20.61314731
Cluster_0467;;;;;149.9941765;20.90441783
Cluster_0468;;;;;149.994195;24.22176588
Cluster_0469;;;;;149.9956229;24.52611168
Cluster_0470;;;;;149.9941336;24.68739856
Cluster_0471;;;;;149.9942187;24.7691913
Cluster_0472;;;;;149.9941943;24.92465892
Cluster_0473;;;;;149.9941604;24.997
Cluster_0474;;;;;149.9942948;12.91722322
Cluster_0475;;;;;149.9942012;13.47032767
Cluster_0476;;;;;149.9942605;13.7517787
Cluster_0477;;;;;149.9942824;13.90924867
Cluster_0478;;;;;149.9940574;14.0614493
Cluster_0479;;;;;149.9955883;14.19056006
Cluster_0480;;;;;149.9955642;11.83306206
Cluster_0481;;;;;149.9944306;11.90872882
Cluster_0482;;;;;150.9961516;17.04217413
Cluster_0483;;;;;150.9958093;18.76265888
Cluster_0484;;;;;150.9977467;19.99093162
Cluster_0485;;;;;150.9975675;22.17625498
Cluster_0486;;;;;150.9998219;23.78498344
Cluster_0487;;;;;151.0261348;1.241742772
Cluster_0488;;;;;151.0400596;8.899566734
Cluster_0489;;;;;151.0400623;7.260776583
Cluster_0490;;;;;151.0401365;7.5810263
Cluster_0491;;;;;151.0398202;8.060444993
Cluster_0492;;;;;151.0398738;6.376310746
Cluster_0493;;;;;151.039823;5.181454482
Cluster_0494;;;;;152.0282069;1.243396667
Cluster_0495;;;;;153.0175169;2.804782628
Cluster_0496;;;;;153.019705;8.270780784
Cluster_0497;;;;;153.0195355;5.702753353
Cluster_0498;;;;;153.0303419;24.2971551
Cluster_0499;;;;;153.0256089;22.11520487
Cluster_0500;;;;;153.0255543;22.43370052
Cluster_0501;;;;;153.0278788;22.50021153
Cluster_0502;;;;;153.0296413;23.04331694
Cluster_0503;;;;;153.0299495;20.95103964
Cluster_0504;;;;;153.0304038;21.25654262
Cluster_0505;;;;;153.0295372;21.4160847
Cluster_0506;;;;;154.0515745;2.318629221
Cluster_0507;;;;;154.0504977;6.789233669
Cluster_0508;;;;;156.0664012;5.454571109
Cluster_0509;;;;;156.0662032;4.073848047
Cluster_0510;;;;;156.0662097;11.33061829
Cluster_0511;;;;;156.0663613;7.371878938
Cluster_0512;;;;;157.0364604;0.729246058
Cluster_0513;;;;;157.0176199;1.026576887
Cluster_0514;;;;;157.0501343;6.010074931
Cluster_0515;;;;;157.0544726;4.739633317
Cluster_0516;;;;;157.0479888;5.117093482
Cluster_0517;;;;;158.0617706;4.961084809
Cluster_0518;;;;;158.0619743;7.553967724
Cluster_0519;;;;;158.060392;8.08300411
Cluster_0520;;;;;158.0604489;5.618418429
Cluster_0521;;;;;158.9244277;2.009994365
Cluster_0522;;;;;158.9244277;2.009994365
Cluster_0523;;;;;159.0456066;7.855691682
Cluster_0524;;;;;159.1020944;7.41296346
Cluster_0525;;;;;159.0659691;3.819676675
Cluster_0526;;;;;159.0659913;5.742279269
Cluster_0527;;;;;159.1020944;7.41296346
Cluster_0528;;;;;160.0400342;7.596169187
Cluster_0529;;;;;160.0400342;7.596169187
Cluster_0530;;;;;160.0400963;9.856814164
Cluster_0531;;;;;160.0255616;1.477273333
Cluster_0532;;;;;160.0617541;1.181657191
Cluster_0533;;;;;160.8418407;2.389645591
Cluster_0534;;;;;160.8418184;2.497410649
Cluster_0535;;;;;160.841827;2.635406496
Cluster_0536;;;;;160.8417727;3.127894107
Cluster_0537;;;;;160.8418234;3.325995007
Cluster_0538;;;;;160.8416637;3.563751563
Cluster_0539;;;;;160.8417633;3.679970837
Cluster_0540;;;;;160.8418542;7.340202226
Cluster_0541;;;;;160.8418249;8.103352544
Cluster_0542;;;;;160.8418102;4.416593624
Cluster_0543;;;;;160.8418169;4.714694873
Cluster_0544;;;;;160.8418385;4.867871859
Cluster_0545;;;;;160.8417325;4.978380665
Cluster_0546;;;;;160.8417724;5.101116721
Cluster_0547;;;;;160.8418177;5.276885773
Cluster_0548;;;;;160.8417634;5.626595889
Cluster_0549;;;;;160.8417984;5.799871045
Cluster_0550;;;;;160.8415419;5.974956236
Cluster_0551;;;;;160.8418213;6.187889914
Cluster_0552;;;;;160.8417923;6.469227841
Cluster_0553;;;;;160.8418068;6.612794598
Cluster_0554;;;;;160.8417861;6.888143628
Cluster_0555;;;;;160.841683;8.622584278
Cluster_0556;;;;;160.841864;9.276136043
Cluster_0557;;;;;160.8417527;9.355540182
Cluster_0558;;;;;160.8418202;9.843527211
Cluster_0559;;;;;160.8417613;2.11459769
Cluster_0560;;;;;161.0095863;21.62485802
Cluster_0561;;;;;161.0095863;21.62485802
Cluster_0562;;;;;161.0101445;21.96958095
Cluster_0563;;;;;161.0458604;1.869905032
Cluster_0564;;;;;161.0638079;3.753574468
Cluster_0565;;;;;161.0499403;0.730578499
Cluster_0566;;;;;161.081726;4.279183623
Cluster_0567;;;;;161.0817583;4.441631918
Cluster_0568;;;;;161.0817882;4.718219358
Cluster_0569;;;;;161.0819875;7.175577951
Cluster_0570;;;;;162.0420349;1.605775107
Cluster_0571;;;;;164.0357587;6.573742754
Cluster_0572;;;;;164.0716289;3.587843702
Cluster_0573;;;;;164.8356749;3.591825405
Cluster_0574;;;;;165.0196367;1.695433333
Cluster_0575;;;;;165.0223299;1.025940578
Cluster_0576;;;;;165.0195298;1.659509723
Cluster_0577;;;;;165.0195298;1.659509723
Cluster_0578;;;;;165.0558989;9.319456999
Cluster_0579;;;;;165.0196256;8.161119373
